State,Year,AvgTemp,AvgHumidity,TotalRainfall,Crop,Season,Area,Production,Annual_Rainfall,Fertilizer,Pesticide,Yield
Madhya Pradesh,2012,26.9,71,1205,Soyabean,Kharif     ,6172638.0,8407133.0,1049.5,930833810.4,1913517.78,1.189591837
Madhya Pradesh,2013,25.8,68,952,Soyabean,Kharif     ,6543581.0,4711378.0,1451.4,945482018.7,1766766.87,0.7448
Madhya Pradesh,2014,27.1,72,1278,Soyabean,Kharif     ,5571000.0,6350000.0,891.2,840998160.0,1838430.0,1.189583333
Madhya Pradesh,2015,26.5,69,1086,Soyabean,Kharif     ,5910000.0,4450000.0,1000.7,933248100.0,1950300.0,0.812653061
Madhya Pradesh,2016,27.2,70,1154,Soyabean,Kharif     ,5402000.0,6650000.0,1048.4,827856500.0,1890700.0,1.172222222
Madhya Pradesh,2017,26.7,69,1020,Soyabean,Kharif     ,5010070.0,5321810.0,800.0,788785420.8,1903826.6,1.008
Madhya Pradesh,2018,27.4,71,1242,Soyabean,Kharif     ,5418888.0,5809838.0,1102.2,878943633.6,1896610.8,0.9452
Madhya Pradesh,2019,26.9,70,1107,Soyabean,Kharif     ,6194044.0,3856153.0,1446.7,1063888997.0,2291796.28,0.678431373
Uttar Pradesh,2008,24.8,72,821,Soyabean,Kharif     ,10599.0,9104.0,891.6,1516080.96,953.91,0.838181818
Uttar Pradesh,2009,24.3,71,754,Soyabean,Kharif     ,7169.0,7563.0,585.8,1117073.58,1218.73,1.046666667
Uttar Pradesh,2010,25.0,73,892,Soyabean,Kharif     ,10939.0,13475.0,742.6,1817077.29,2625.36,1.216923077
Uttar Pradesh,2011,24.5,72,789,Soyabean,Kharif     ,17670.0,22123.0,777.4,2960078.4,5831.1,1.25
Uttar Pradesh,2012,25.2,74,945,Soyabean,Kharif     ,13679.0,19342.0,746.3,2062793.2,4240.49,1.415714286
Uttar Pradesh,2013,24.7,71,807,Soyabean,Kharif     ,25502.0,14688.0,995.2,3684783.98,6885.54,0.57
Uttar Pradesh,2014,25.4,75,987,Soyabean,Kharif     ,52551.0,37679.0,616.4,7933098.96,17341.83,0.734615385
Uttar Pradesh,2015,24.9,72,832,Soyabean,Kharif     ,35542.0,6221.0,596.7,5612437.22,11728.86,0.1775
Uttar Pradesh,2016,25.6,73,918,Soyabean,Kharif     ,10520.0,7081.0,965.3,1612190.0,3682.0,0.692307692
Uttar Pradesh,2017,25.1,72,854,Soyabean,Kharif     ,14268.0,11093.0,652.1,2246353.92,5421.84,0.762307692
Uttar Pradesh,2018,25.8,74,1029,Soyabean,Kharif     ,22722.0,20472.0,792.8,3685508.4,7952.7,0.902307692
Uttar Pradesh,2019,25.3,73,907,Soyabean,Kharif     ,22402.0,11497.0,814.5,3847767.52,8288.74,0.471818182
Uttarakhand,2008,18.4,67,1287,Soyabean,Kharif     ,8328.0,10133.0,1363.7,1191237.12,749.52,1.042307692
Uttarakhand,2009,18.0,66,1192,Soyabean,Kharif     ,8270.0,13660.0,847.8,1288631.4,1405.9,1.19
Uttarakhand,2010,18.7,68,1354,Soyabean,Kharif     ,8135.0,13174.0,1419.0,1351304.85,1952.4,1.146363636
Uttarakhand,2011,18.2,67,1247,Soyabean,Kharif     ,9041.0,14414.0,1564.7,1514548.32,2983.53,1.133636364
Uttarakhand,2012,18.9,69,1425,Soyabean,Kharif     ,9067.0,19415.0,1309.8,1367303.6,2810.77,1.275
Uttarakhand,2013,18.3,66,1172,Soyabean,Kharif     ,9172.0,14374.0,1735.4,1325262.28,2476.44,1.109166667
Uttarakhand,2014,19.0,70,1502,Soyabean,Kharif     ,10772.0,14327.0,1287.4,1626141.12,3554.76,0.903333333
Uttarakhand,2015,18.5,67,1317,Soyabean,Kharif     ,11940.0,15950.0,1247.6,1885445.4,3940.2,0.994615385
Uttarakhand,2016,19.2,68,1485,Soyabean,Kharif     ,11431.0,13612.0,1580.9,1751800.75,4000.85,0.904166667
Uttarakhand,2017,18.7,67,1290,Soyabean,Kharif     ,10537.0,12759.0,1475.8,1658945.28,4004.06,0.925833333
Uttarakhand,2018,19.4,70,1567,Soyabean,Kharif     ,9054.0,9681.0,1373.0,1468558.8,3168.9,0.959166667
Uttarakhand,2019,18.9,68,1362,Soyabean,Kharif     ,8003.0,8838.0,1378.9,1374595.28,2961.11,1.178333333
Uttarakhand,2020,19.6,71,1634,Soyabean,Kharif     ,7246.0,8800.0,1313.947826,1402898.06,2681.02,1.214166667
Bihar,2019,26.3,74,1195,Soyabean,Kharif     ,19600.0,14779.0,1194.7,3366496.0,7252.0,0.75
Mizoram,2010,21.4,85,2947,Soyabean,Kharif     ,1401.0,2653.0,2738.7,232720.11,336.24,1.6225
Mizoram,2011,21.1,84,2831,Soyabean,Kharif     ,1143.7,1433.0,2439.340909,191592.624,377.421,1.17125
Mizoram,2012,21.6,86,3024,Soyabean,Kharif     ,1076.0,1517.0,2050.2,162260.8,333.56,1.32625
Mizoram,2013,21.3,83,2752,Soyabean,Kharif     ,980.0,1458.0,1848.8,141600.2,264.6,1.3875
Mizoram,2014,21.8,85,3107,Soyabean,Kharif     ,1042.0,1472.0,2029.9,157300.32,343.86,1.15875
Mizoram,2015,21.5,84,2916,Soyabean,Kharif     ,1048.0,1613.0,2310.8,165489.68,345.84,1.43625
Mizoram,2016,22.0,86,3174,Soyabean,Kharif     ,1019.0,1604.0,2626.8,156161.75,356.65,1.4825
Mizoram,2017,21.7,84,2952,Soyabean,Kharif     ,1008.3,1538.0,3865.8,158746.752,383.154,1.3675
Mizoram,2018,22.2,87,3242,Soyabean,Kharif     ,1012.0,1752.0,1665.2,164146.4,354.2,1.465
Mizoram,2019,21.9,85,3027,Soyabean,Kharif     ,1121.0,1827.0,2178.5,192542.96,414.77,1.335
Maharashtra,2008,27.3,70,1478,Soyabean,Kharif     ,3063200.0,1839900.0,1052.8,438160128.0,275688.0,0.890714286
Maharashtra,2009,26.9,69,1399,Soyabean,Kharif     ,3019100.0,2197000.0,1002.4,470436162.0,513247.0,0.948928571
Maharashtra,2010,27.6,71,1562,Soyabean,Kharif     ,2729100.0,4316100.0,1389.0,453330801.0,654984.0,1.663928571
Maharashtra,2011,27.1,70,1443,Soyabean,Kharif     ,3010300.0,3969200.0,1174.095455,504285456.0,993399.0,1.484285714
Maharashtra,2012,27.8,72,1630,Soyabean,Kharif     ,3063900.0,4689800.0,1003.4,462036120.0,949809.0,1.5
Maharashtra,2013,27.3,70,1402,Soyabean,Kharif     ,3519900.0,4272690.0,1409.8,508590351.0,950373.0,1.405714286
Maharashtra,2014,28.0,73,1687,Soyabean,Kharif     ,3640200.0,1821600.0,1001.6,549524592.0,1201266.0,0.758571429
Maharashtra,2015,27.5,71,1516,Soyabean,Kharif     ,3702000.0,1794590.0,875.7,584582820.0,1221660.0,0.668928571
Maharashtra,2016,28.2,72,1604,Soyabean,Kharif     ,3840840.0,4586715.0,1151.1,588608730.0,1344294.0,1.27
Maharashtra,2017,27.7,71,1470,Soyabean,Kharif     ,3693729.0,3805544.0,1129.5,581540693.8,1403617.02,1.225357143
Maharashtra,2018,28.4,73,1662,Soyabean,Kharif     ,4075174.0,4610936.0,1387.4,660993222.8,1426310.9,1.232857143
Maharashtra,2019,27.9,72,1557,Soyabean,Kharif     ,4123911.0,4825628.0,1555.8,708322953.4,1525847.07,1.153214286
Jharkhand,2017,28.2,76,1450,Soyabean,Kharif     ,1923.0,1536.0,1165.7,302757.12,730.74,0.857692308
Jharkhand,2018,28.9,78,1572,Soyabean,Kharif     ,6099.0,4557.0,1222.7,989257.8,2134.65,0.76
Jharkhand,2019,28.4,77,1495,Soyabean,Kharif     ,1193.0,1023.0,1137.8,204909.68,441.41,0.850833333
Himachal Pradesh,2008,16.7,67,1287,Soyabean,Kharif     ,738.0,1235.0,1357.1,105563.52,66.42,1.577142857
Himachal Pradesh,2009,16.3,66,1192,Soyabean,Kharif     ,550.0,430.0,969.9,85701.0,93.5,0.774285714
Himachal Pradesh,2010,17.0,68,1354,Soyabean,Kharif     ,545.0,792.0,1319.8,90529.95,130.8,1.444285714
Himachal Pradesh,2011,16.5,67,1247,Soyabean,Kharif     ,543.0,969.0,1108.3,90963.36,179.19,1.502857143
Himachal Pradesh,2012,17.2,69,1425,Soyabean,Kharif     ,617.0,834.0,1035.0,93043.6,191.27,1.494285714
Himachal Pradesh,2013,16.7,66,1172,Soyabean,Kharif     ,528.0,798.0,1216.9,76290.72,142.56,1.428571429
Himachal Pradesh,2014,17.4,70,1502,Soyabean,Kharif     ,633.0,934.0,1019.9,95557.68,208.89,1.288571429
Himachal Pradesh,2015,16.9,67,1317,Soyabean,Kharif     ,554.0,925.0,1223.2,87482.14,182.82,1.657142857
Himachal Pradesh,2016,17.6,68,1485,Soyabean,Kharif     ,512.0,915.0,1373.9,78464.0,179.2,1.522857143
Himachal Pradesh,2017,17.1,67,1290,Soyabean,Kharif     ,554.0,929.0,1182.2,87221.76,210.52,1.684285714
Himachal Pradesh,2018,17.8,70,1567,Soyabean,Kharif     ,554.0,931.0,1052.2,89858.8,193.9,1.59625
Himachal Pradesh,2019,17.3,68,1362,Soyabean,Kharif     ,556.0,949.0,1217.7,95498.56,205.72,1.63125
Karnataka,2008,27.8,63,845,Soyabean,Kharif     ,134183.0,92556.0,1164.1,19193536.32,12076.47,0.746363636
Karnataka,2009,27.3,62,782,Soyabean,Kharif     ,183688.0,82396.0,1321.0,28622264.16,31226.96,0.413
Karnataka,2010,28.1,64,917,Soyabean,Kharif     ,168075.0,147777.0,1317.7,27918938.25,40338.0,0.841111111
Karnataka,2011,27.6,63,834,Soyabean,Kharif     ,190973.0,192764.0,1178.986364,31991796.96,63021.09,0.8975
Karnataka,2012,28.2,65,972,Soyabean,Kharif     ,169509.0,177805.0,956.2,25561957.2,52547.79,0.878888889
Karnataka,2013,27.5,62,807,Soyabean,Kharif     ,218908.0,270157.0,1235.6,31630016.92,59105.16,1.18
Karnataka,2014,28.4,66,1029,Soyabean,Kharif     ,255538.0,189081.0,1238.5,38576016.48,84327.54,0.808571429
Karnataka,2015,27.8,64,876,Soyabean,Kharif     ,257971.0,139890.0,1024.9,40736200.61,85130.43,0.692222222
Karnataka,2016,28.6,65,1004,Soyabean,Kharif     ,317870.0,237281.0,1147.2,48713577.5,111254.5,0.872727273
